TITLE = "2hz_0001"
VARIABLES = "x [mm]", "y [mm]", "Velocity u [m/s]", "Velocity v [m/s]", "isValid", "filter length"
ZONE T="Frame 0", I=258, J=152, F=POINT
STRANDID=1, SOLUTIONTIME=24.69999551
-53.5761 46.1179 0 0 0 31
-53.0885 46.1179 0 0 0 31
-52.6009 46.1179 0 0 0 31
-52.1133 46.1179 0 0 0 31
-51.6257 46.1179 0 0 0 31
-51.1381 46.1179 0 0 0 31
-50.6505 46.1179 0 0 0 31
-50.1629 46.1179 0 0 0 31
-49.6752 46.1179 0 0 0 31
-49.1876 46.1179 0 0 0 31
-48.7 46.1179 0 0 0 31
-48.2124 46.1179 0 0 0 31
-47.7248 46.1179 0 0 0 31
-47.2372 46.1179 0 0 0 31
-46.7496 46.1179 0 0 0 31
-46.262 46.1179 0 0 0 31
-45.7744 46.1179 0 0 0 31
-45.2868 46.1179 0 0 0 31
-44.7992 46.1179 0 0 0 31
-44.3116 46.1179 0 0 0 31
-43.824 46.1179 0 0 0 31
-43.3364 46.1179 0 0 0 31
-42.8488 46.1179 0 0 0 31
-42.3611 46.1179 0 0 0 31
-41.8735 46.1179 0 0 0 31
-41.3859 46.1179 0 0 0 31
-40.8983 46.1179 0 0 0 31
-40.4107 46.1179 0 0 0 31
-39.9231 46.1179 0 0 0 31
-39.4355 46.1179 0 0 0 31
-38.9479 46.1179 0 0 0 31
-38.4603 46.1179 0 0 0 31
-37.9727 46.1179 0 0 0 31
-37.4851 46.1179 0 0 0 31
-36.9975 46.1179 0 0 0 31
-36.5099 46.1179 0 0 0 31
-36.0223 46.1179 0 0 0 31
-35.5347 46.1179 0 0 0 31
-35.0471 46.1179 0 0 0 31
-34.5594 46.1179 0 0 0 31
-34.0718 46.1179 0 0 0 31
-33.5842 46.1179 0 0 0 31
-33.0966 46.1179 0 0 0 31
-32.609 46.1179 0 0 0 31
-32.1214 46.1179 0 0 0 31
-31.6338 46.1179 0 0 0 31
-31.1462 46.1179 0 0 0 31
-30.6586 46.1179 0 0 0 31
-30.171 46.1179 0 0 0 31
-29.6834 46.1179 0 0 0 31
-29.1958 46.1179 0 0 0 31
-28.7082 46.1179 0 0 0 31
-28.2206 46.1179 0 0 0 31
-27.733 46.1179 0 0 0 31
-27.2454 46.1179 0 0 0 31
-26.7577 46.1179 0 0 0 31
-26.2701 46.1179 0 0 0 31
-25.7825 46.1179 0 0 0 31
-25.2949 46.1179 0 0 0 31
-24.8073 46.1179 0 0 0 31
-24.3197 46.1179 0 0 0 31
-23.8321 46.1179 0 0 0 31
-23.3445 46.1179 0 0 0 31
-22.8569 46.1179 0 0 0 31
-22.3693 46.1179 0 0 0 31
-21.8817 46.1179 0 0 0 31
-21.3941 46.1179 0 0 0 31
-20.9065 46.1179 0 0 0 31
-20.4189 46.1179 0 0 0 31
-19.9313 46.1179 0 0 0 31
-19.4436 46.1179 0 0 0 31
-18.956 46.1179 0 0 0 31
-18.4684 46.1179 0 0 0 31
-17.9808 46.1179 0 0 0 31
-17.4932 46.1179 0 0 0 31
-17.0056 46.1179 0 0 0 31
-16.518 46.1179 0 0 0 31
-16.0304 46.1179 0 0 0 31
-15.5428 46.1179 0 0 0 31
-15.0552 46.1179 0 0 0 31
-14.5676 46.1179 0 0 0 31
-14.08 46.1179 0 0 0 31
-13.5924 46.1179 0 0 0 31
-13.1048 46.1179 0 0 0 31
-12.6172 46.1179 0 0 0 31
-12.1296 46.1179 0 0 0 31
-11.6419 46.1179 0 0 0 31
-11.1543 46.1179 0 0 0 31
-10.6667 46.1179 0 0 0 31
-10.1791 46.1179 0 0 0 31
-9.69152 46.1179 0 0 0 31
-9.20391 46.1179 0 0 0 31
-8.71631 46.1179 0 0 0 31
-8.2287 46.1179 0 0 0 31
-7.7411 46.1179 0 0 0 31
-7.25349 46.1179 0 0 0 31
-6.76588 46.1179 0 0 0 31
-6.27828 46.1179 0 0 0 31
-5.79067 46.1179 0 0 0 31
-5.30306 46.1179 0 0 0 31
-4.81546 46.1179 0 0 0 31
-4.32785 46.1179 0 0 0 31
-3.84024 46.1179 0 0 0 31
-3.35264 46.1179 0 0 0 31
-2.86503 46.1179 0 0 0 31
-2.37742 46.1179 0 0 0 31
-1.88982 46.1179 0 0 0 31
-1.40221 46.1179 0 0 0 31
-0.914606 46.1179 0 0 0 31
-0.426999 46.1179 0 0 0 31
0.0606072 46.1179 0 0 0 31
0.548214 46.1179 0 0 0 31
1.03582 46.1179 0 0 0 31
1.52343 46.1179 0 0 0 31
2.01103 46.1179 0 0 0 31
2.49864 46.1179 0 0 0 31
2.98625 46.1179 0 0 0 31
3.47385 46.1179 0 0 0 31
3.96146 46.1179 0 0 0 31
4.44906 46.1179 0 0 0 31
4.93667 46.1179 0 0 0 31
5.42428 46.1179 0 0 0 31
5.91188 46.1179 0 0 0 31
6.39949 46.1179 0 0 0 31
6.8871 46.1179 0 0 0 31
7.3747 46.1179 0 0 0 31
7.86231 46.1179 0 0 0 31
8.34992 46.1179 0 0 0 31
8.83752 46.1179 0 0 0 31
9.32513 46.1179 0 0 0 31
9.81274 46.1179 0 0 0 31
10.3003 46.1179 0 0 0 31
10.7879 46.1179 0 0 0 31
11.2756 46.1179 0 0 0 31
11.7632 46.1179 0 0 0 31
12.2508 46.1179 0 0 0 31
12.7384 46.1179 0 0 0 31
13.226 46.1179 0 0 0 31
13.7136 46.1179 0 0 0 31
14.2012 46.1179 0 0 0 31
14.6888 46.1179 0 0 0 31
15.1764 46.1179 0 0 0 31
15.664 46.1179 0 0 0 31
16.1516 46.1179 0 0 0 31
16.6392 46.1179 0 0 0 31
17.1268 46.1179 0 0 0 31
17.6144 46.1179 0 0 0 31
18.102 46.1179 0 0 0 31
18.5897 46.1179 0 0 0 31
19.0773 46.1179 0 0 0 31
19.5649 46.1179 0 0 0 31
20.0525 46.1179 0 0 0 31
20.5401 46.1179 0 0 0 31
21.0277 46.1179 0 0 0 31
21.5153 46.1179 0 0 0 31
22.0029 46.1179 0 0 0 31
22.4905 46.1179 0 0 0 31
22.9781 46.1179 0 0 0 31
23.4657 46.1179 0 0 0 31
23.9533 46.1179 0 0 0 31
24.4409 46.1179 0 0 0 31
24.9285 46.1179 0 0 0 31
25.4161 46.1179 0 0 0 31
25.9037 46.1179 0 0 0 31
26.3914 46.1179 0 0 0 31
26.879 46.1179 0 0 0 31
27.3666 46.1179 0 0 0 31
27.8542 46.1179 0 0 0 31
28.3418 46.1179 0 0 0 31
28.8294 46.1179 0 0 0 31
29.317 46.1179 0 0 0 31
29.8046 46.1179 0 0 0 31
30.2922 46.1179 0 0 0 31
30.7798 46.1179 0 0 0 31
31.2674 46.1179 0 0 0 31
31.755 46.1179 0 0 0 31
32.2426 46.1179 0 0 0 31
32.7302 46.1179 0 0 0 31
33.2178 46.1179 0 0 0 31
33.7054 46.1179 0 0 0 31
34.1931 46.1179 0 0 0 31
34.6807 46.1179 0 0 0 31
35.1683 46.1179 0 0 0 31
35.6559 46.1179 0 0 0 31
36.1435 46.1179 0 0 0 31
36.6311 46.1179 0 0 0 31
37.1187 46.1179 0 0 0 31
37.6063 46.1179 0 0 0 31
38.0939 46.1179 0 0 0 31
38.5815 46.1179 0 0 0 31
39.0691 46.1179 0 0 0 31
39.5567 46.1179 0 0 0 31
40.0443 46.1179 0 0 0 31
40.5319 46.1179 0 0 0 31
